"ORIGINAL_ITEM_TEXT","FIDO","FIDO_DESCRIPTION","BRAND_ID","BRAND_NAME","BUSINESS_ID","BUSINESS_NAME","CATEGORY_ID","CATEGORY_NAME","CATEGORY_ID_HIERARCHY","CATEGORY_NAME_HIERARCHY"
"Vive Organic Immunity Boost Vitamin C, Ginger & Turmeric Shot (2oz bottle)","a77535ab-ce24-46fb-a370-ecaa496d1938","Vive Organic Immunity Boost Shot Vitamin C Ginger And Turmeric - 2 Fl Oz","cq2n1gnkgvjd7vduh0rg","Vive Organic","660c8b1c169be3fe6a71094d","Suja Life, LLC","b184e8e9-fd37-4999-8a64-fa537e11540d","Wellness Shots","841401c766854ce69aceccf3603fa69b.87459c516dc140649fb451e399187f2c.b184e8e9fd3749998a64fa537e11540d","Beverages > Fruit & Vegetable Juices > Wellness Shots"
"ole seoky pineap bottle","8c80bee4-626c-41bb-b08b-c8fc28c6e150","Dole 100% Pineapple Juice - 8.4 oz","cle10hcqhg1sor3ee1h0","Dole Canned Juice","62bdbc3e2a605c32f1081196","Dole Packaged Foods","0fa26252-ff2e-43f3-ab42-d8b0ae18b624","Other Juices","841401c766854ce69aceccf3603fa69b.87459c516dc140649fb451e399187f2c.0fa26252ff2e43f3ab42d8b0ae18b624","Beverages > Fruit & Vegetable Juices > Other Juices"
"Maidenform Womens Shapewear Modern Sculpts Extra Firm Shaping Bodysuit FLS108 Sizes S-3XL","e17ba18e-d205-4713-8637-fe5d1491df54","Maidenform Women’s Shapewear Modern Sculpts Extra Firm Shaping Bodysuit Fls108 Sizes S-3xl-black-clothing Size Xl","cjocbqp7msfd71rai1n0","Maidenform","64dce63bface15d58731f640","HanesBrands Inc.","ac7a06e5-7812-4c0b-b474-d45576c41b9d","Shapewear","d94c5525bb3846af8a13e1716396825d.76ff60be15a04cdda6e5a9f0bfcd3ec1.e52c0ad1133d4d6fa3cb78fcd68fe2d7.ac7a06e578124c0bb474d45576c41b9d","Apparel & Accessories > Clothing > Underwear & Socks > Shapewear"
"dm pineapple coree","c3eb571a-2df7-40b7-8499-4ba571d6ea4d","Cub Fruit Juice Pineapple","cnivb14k3a5comn3fb1g","Del Monte Packaged","60a2bae5e50345759644c50b","Del Monte Foods, Inc","f3eeba9d-ee34-4a68-a0a0-14e9b7a5352e","Other Packaged Fruit","34415ca7fa1746c29f06a009c58af79f.298b077327c745388bbea84c591b6714.f3eeba9dee344a68a0a014e9b7a5352e","Pantry > Packaged Fruit & Applesauce > Other Packaged Fruit"
"dm 100pineappe jce","c3eb571a-2df7-40b7-8499-4ba571d6ea4d","Cub Fruit Juice Pineapple","cnivb14k3a5comn3fb1g","Del Monte Packaged","60a2bae5e50345759644c50b","Del Monte Foods, Inc","f3eeba9d-ee34-4a68-a0a0-14e9b7a5352e","Other Packaged Fruit","34415ca7fa1746c29f06a009c58af79f.298b077327c745388bbea84c591b6714.f3eeba9dee344a68a0a014e9b7a5352e","Pantry > Packaged Fruit & Applesauce > Other Packaged Fruit"
"*del mone pineapple slice juin n $351x1 entero 4 lb","c3eb571a-2df7-40b7-8499-4ba571d6ea4d","Cub Fruit Juice Pineapple","cnivb14k3a5comn3fb1g","Del Monte Packaged","60a2bae5e50345759644c50b","Del Monte Foods, Inc","f3eeba9d-ee34-4a68-a0a0-14e9b7a5352e","Other Packaged Fruit","34415ca7fa1746c29f06a009c58af79f.298b077327c745388bbea84c591b6714.f3eeba9dee344a68a0a014e9b7a5352e","Pantry > Packaged Fruit & Applesauce > Other Packaged Fruit"
"d.m 4pk pineappl","4aa65335-3440-41e5-8b4a-8f6deb216394","DEL MONTE CANNED PINEAPPLE","cnivb14k3a5comn3fb1g","Del Monte Packaged","60a2bae5e50345759644c50b","Del Monte Foods, Inc","f3eeba9d-ee34-4a68-a0a0-14e9b7a5352e","Other Packaged Fruit","34415ca7fa1746c29f06a009c58af79f.298b077327c745388bbea84c591b6714.f3eeba9dee344a68a0a014e9b7a5352e","Pantry > Packaged Fruit & Applesauce > Other Packaged Fruit"
"Dole Pineapple Chunks In Heavy Syrup, 8.25 oz","f516e8a3-7485-400a-a358-cbd679ce7ce9","Dole Pineapple Chunks In Heavy Syrup - 8.25 Oz","62bdbd6f2a605c32f1081197","Dole Frozen & Shelf Stable Foods","62bdbc3e2a605c32f1081196","Dole Packaged Foods","f3eeba9d-ee34-4a68-a0a0-14e9b7a5352e","Other Packaged Fruit","34415ca7fa1746c29f06a009c58af79f.298b077327c745388bbea84c591b6714.f3eeba9dee344a68a0a014e9b7a5352e","Pantry > Packaged Fruit & Applesauce > Other Packaged Fruit"
"libby slcd pchs hs can 14.5z","5a98a491-473a-4098-9e00-18c0e29059ea","Libbys Sliced Peaches - 14.5 Oz","cusgos7kgvjddf2kb2b0","Libby's Fruit","67b90c3a2abc5572e682ddb5","NTC Marketing","f3eeba9d-ee34-4a68-a0a0-14e9b7a5352e","Other Packaged Fruit","34415ca7fa1746c29f06a009c58af79f.298b077327c745388bbea84c591b6714.f3eeba9dee344a68a0a014e9b7a5352e","Pantry > Packaged Fruit & Applesauce > Other Packaged Fruit"
"Girls' Solid One Piece Swimsuit - art class Pink M: UPF 50+, Recycled Polyester, Sleeveless","8d349886-ae9f-42e3-8b96-32baa17ae15a","Girls Solid One Piece Swimsuit Set - Art Class - Pink - M","ck08maa5ip7somuba860","Art Class","63068f0c2426542ddf3b8e7f","Target Corporation","47e6f62e-0e73-4d91-b278-4a8487f75786","Water Sports","529d2ad43aa94310a574256ba9822fc7.d91de5cdca7f486a9a4548c425cc40b8.47e6f62e0e734d91b2784a8487f75786","Sporting Goods > Athletics > Water Sports"
"Liquid I.V. Hydration Multiplier Sugar-Free - White Peach | Electrolyte Powder Drink Mix | 1 Pack (14 Servings)","d06e5c3b-b003-4996-9005-b3cd04964326","Liquid Iv Hydration Multiplier Sugar Free Electrolyte Drink Mix White Peach-0.56oz","cjod8m17msfd70c5t3qg","Liquid I.V.","5332f5f6e4b03c9a25efd0b4","Unilever","620d6d84-017d-4c64-8295-18bb42941bb6","Energy & Hydration Mixes","841401c766854ce69aceccf3603fa69b.84011112b553402a9950998bf7affd63.620d6d84017d4c64829518bb42941bb6","Beverages > Drink Mixes > Energy & Hydration Mixes"
"ajax dish liquid lav 12.4oz","8624fe3f-937f-444f-8e28-7fddf7214c2f","Ajax Ultra Liquid Dish Soap With Fabuloso Lavender Scent - 12.4 Oz","chn8ggjpor5cp9u53dfg","Ajax","6078a51e5d68c81edd113b27","Colgate-Palmolive","77a30298-5842-47fe-811b-8bec48b5bb2e","Dish Soap","87b8ae7a5a8b43f1a4eea1fdb3bc068c.a55443a388524b1c818b10046614496c.9f5837e7acb64858882979e097e1850e.77a30298584247fe811b8bec48b5bb2e","Household Supplies > Household Cleaning Supplies > Household Cleaning Products > Dish Soap"
"ajax dish liq lemon 15.2floz","8dad2751-5d11-4edd-bda3-8f321e8706db","Ajax Ultra Super Degreaser Dish Liquid Lemon","chn8ggjpor5cp9u53dfg","Ajax","6078a51e5d68c81edd113b27","Colgate-Palmolive","77a30298-5842-47fe-811b-8bec48b5bb2e","Dish Soap","87b8ae7a5a8b43f1a4eea1fdb3bc068c.a55443a388524b1c818b10046614496c.9f5837e7acb64858882979e097e1850e.77a30298584247fe811b8bec48b5bb2e","Household Supplies > Household Cleaning Supplies > Household Cleaning Products > Dish Soap"
"dawn ultra drig 7.50z","8e3a4a60-74b4-4734-a4e8-8a57d215584d","Dawn Ultra Dishwashing Liquid","ci126brpor5coc70pfsg","Dawn","638fa3996cb443bf6ffdfb07","Procter & Gamble","77a30298-5842-47fe-811b-8bec48b5bb2e","Dish Soap","87b8ae7a5a8b43f1a4eea1fdb3bc068c.a55443a388524b1c818b10046614496c.9f5837e7acb64858882979e097e1850e.77a30298584247fe811b8bec48b5bb2e","Household Supplies > Household Cleaning Supplies > Household Cleaning Products > Dish Soap"
"dawn ult fz dsh ltq","f40b83a5-6685-48bb-b923-b9ff5c9a1252","Dawn Ultra Antibacterial Dishwashing Liquid","ci126brpor5coc70pfsg","Dawn","638fa3996cb443bf6ffdfb07","Procter & Gamble","77a30298-5842-47fe-811b-8bec48b5bb2e","Dish Soap","87b8ae7a5a8b43f1a4eea1fdb3bc068c.a55443a388524b1c818b10046614496c.9f5837e7acb64858882979e097e1850e.77a30298584247fe811b8bec48b5bb2e","Household Supplies > Household Cleaning Supplies > Household Cleaning Products > Dish Soap"
"dawn ultra ezs original 12 s","c8f8c501-9859-4a64-8312-1f88a8a2b791","Dawn Ultra Dishwashing Liquid - Original","ci126brpor5coc70pfsg","Dawn","638fa3996cb443bf6ffdfb07","Procter & Gamble","77a30298-5842-47fe-811b-8bec48b5bb2e","Dish Soap","87b8ae7a5a8b43f1a4eea1fdb3bc068c.a55443a388524b1c818b10046614496c.9f5837e7acb64858882979e097e1850e.77a30298584247fe811b8bec48b5bb2e","Household Supplies > Household Cleaning Supplies > Household Cleaning Products > Dish Soap"
